comentario
el tema no es que sean tóxicos el tema es que las plataformas no pagan impuestos y eso no conviene a ningún empresario shein y temu no son marcas son plataformas que usan muchas marcas para vender sus productos ¿por qué no hacen lo mismo con uber que factura en países bajos
yo sigo viva porque mejor no dicen que la china superó a estados unidos
je je pienso lo mismo las marcas caras están viendo que no es rentable para ellos pues shein vende muchisimo
eso suena a que tiene que repartir un trozo del pastel si quieren seguir vendiendo la mafia es la mafia
no lo dudo pero realmente esto es cierto o amazon siente pasos
si les da miedo laven todo lo q comprar antes de usar y tambn aprovechen precios
hay yo tengo muchas cosas de shein y no meha pasado nada más peligro hay en las calles y sigo saliendo
eso es mentira venden mucho quieren que vajen las ventas por que ya tunvaron ventas en otras marca
eso es difamación por estar replicando todo las marcas oficiales andan perdiendo ventas por eso hacen esto
esosi es boicot
saludos mi consejo cada ves que se compre una prenda de vestir hay que lavarla bien por esos conservadores toxicos que le ponen ok felíz día
yo si fuera presidente bloquear a esas empresas que venden tóxicos
eso es mentira yo tengo productos de shein
la mayoría de productos vienen de china independientemente que lleguen a través de dichas plataformas
la mayoría de cosas compradas aquí son es portadas de shein
asustados están por eso hablan así por que estan vendiendo abundantemente shein dios da a todos y todo tiene su tiempo y el tiempo llegó a shein de vender mucho más
eso es por que estan vendiendo mejor que las marcas caras y quieren dañar la imagen
las marcas están gastando millones en promover mala publicidad de las plataformas chinas ya que les están quitando el mercado
mentira lo dicen porque ya les bajo la venta a ka competencia porque shein vende mucho y seguirá vendiendo
yo tengo ropa del shein y no me ha pasado nada
jajajajaja eso huele a que las tiendas de ropa tienen que hacer algo porq no están vendiendo casi nadadesde wue está shein
hasta ahora nada de shein me ha dañado la piel
y yo corriendo a revisar mis zapatos comodos y lindos haber si no tienen sustancias toxicas
y que esperan para sacarlos de el mercado
por eso dicen que lo barato sale caro
cómo las empresas hacen mal las cosas y el consumidor es quien debe tener cuidado no pos sí
ya me salve que bueno que no compro aquí
jajajaja ya se molestaron palacio de hierro cimaco y asta suburbia
seguiré comprando en shein y temu
voy a seguir comprando en shein
ah pero se van bien felices con su blusas de 75 pesos y sus gorras de 30 pesos
no los gobiernos deberian ser los concientes de estos riesgos porque ellos son los que otorgan los permisos para que ellos vendan no nos hagamos
y la culpa es de china o de quien permite que esas cosas pasen para eso está la aduana no
de algo me voy a morir que mas da los tenis con formaldeido
cómo detener los precios bajos de china ahhh si hagamos una campaña de desprestigio y con eso nuestras marcas recuperan terreno jajaja
y que esperaban si todo cuesta 2 pesos
según miedo a la competencia
solo quieren sacar provecho de las ventas unitarias y encarecer los productos chinos
jajajajaja competencia
he comprado seguido y sin problemascreo que las ventas se han incrementado muchísimo me suena a sabotaje estas noticiasprimero el alacrán y ahora
es muy sabido que utilizan productos tóxicos hasta documental hay sobre eso
eso por shane está rompiendo todos los mercados y obio ay q papar
jajajajajajaja tienen miedo a que les quite ventas
no pasa nada son anticomerciales para frenar el comercio chino
por eso compró mi ropa en chiconcuac
ayyy por favooor
contexto la empresa o plataforma shei esta bajo investigación
lo que hacen para ya no hacer compras de ahí
quieren hacerle lo mismo que le hicieron a huawei
es por ello que también hay que enjuagar la ropita nueva antes de usarla mismo caso con la ropa interior
suena como si alguien quisiera deshacerse de un competidor jajaja habrá que dar el beneficio de la duda
las ventas online están dejando sin trabajo a muchas personas e igual están dando mucho trabajo a otras el sol sale para todos
parece otra campaña para boicotear el comercio con china
chale y por qué no avisan antes me pedí unos zapatos ahora me voy a petatear c
no uso prendas de esas aplicaciones pero segun yo todo trapo trae un químico
y la prensa cree que aun nos sacamos los mocos con las crayolas
sabotaje
apenas dicen eso ya tenemos años comprando apoco apenas
lo barato sale caro jajajaja
suena a saboteó y las otras marcas se están viendo perjudicados
se vienen cupones
lo que hace eua para que no china no le afecte a su mercado
en la paca hay más peligro y no dicen nada
lo bueno que no compro gorras ni zapatos
tranquilos solo es mala información para que la gente les deje de comprar pero no pasa nada
propaganda el peligro son los políticos de american del norte con sus guerras
y luego ya dan bien caro
lo que hacen para que no c9mpremos
qué conveniente
me huele venganza
aun así seguiré comprando
hay van a desacreditar por que venden mucho y se sale de su control y provocan ellos mismos lo dañino
pues anda que en el primar tuve que tirar una blusa me daba el sol en las mangas y me quemaba la piel
también las marcas caras lo tienen y y
atte las tiendas que están perdiendo mucho dinero o quien financia la noticia
no te lo creó
todos sont iguales los matan la competencia
la guerra sucia comercial
sin hablar que están desplazando a muchos trabajadores mexicanos que venden ropa mejor echaestan haciendo dinero sin pagar impuestos y creando desempleo
noooo con temu nooo
dañinos y peligrosos xq venden mucho jajaja
todo es porque la marca es china eeuu no quiere competencia y busca dañar la imagen de esa marca
todo se debe de lavar
eso no es verdad lo que pasa es que ya les dió miedo porque ellos venden más
suena a preocupacion de las tiendas en competencia me gusta shein
no les conviene que uno compre barato yo también puedo diser que no es bueno los antojitos de la vecina para que mi hermana venda más jajaja
menos que yo no compro en línea compro en tiendas locales lo veo lo pruebo lo compro y me lo llevo de una
ahora que está superando a amazon lo dicen
todo lo chino no es garantía de nada
es cierto y debemos lavar los productos como ropa zapatos y gorros y luego usarlos
shhhh ya me acordé que tengo pendiente mi pedido de shein
yo tengo unas playeras tenis como los llamen playeras en españa y estoy encantada
y el alcohol y cigarro
esto suena a boicot d marcas k ya no venden tanto
me suena raro
me suena raro
ahora si nos vamos a morir todos
todo hace daño y de todo hablan a quien créer
riesgos pilas tóxicos ojito en ecuador ni saben que es controlar
que raro q las dos marcar son de china y justo ahora se compite x la supremacía global y la quiere liderar usa
sí a estas alturas toca orar antes de ponerse la ropa y por tooodo igual que como se hace con los alimentos
eso se llama maldad
y q más da si todo es malo y no lo retiran x algo será
normal que busquen cualquier cosa porque se está disparando shei ahora casi todos compramos en shai
las marcas reconocidas ya están hartas porque su negocio no le está funcionando bien ya que su mercado está cada vez mejor y las marcas reconocidas van en picada diga la verdad
no me sobra el dinero pero no compro en schien prefiero comprar ropa usada
mm los riesgos o lo mas duraderos
si las marcas caras compran allá y solo ponen sus sellos o marcas
y sus productos chinosacaso no los contienen también
y los refrescos y comidas rápidas no hacen nada
loque pasa que por careros casi no venden
mexico todo esta muy cara
solo es publicidad y porque los chinos están haciendo money
cómo ya no pueden con esa marca ahora a desprestigiarla
jaja resulta que esas dos tiendas saben como evadir impuestos y otros gastos por lo que ahora buscan meter sizaña para que no consuma uno esos productos
fuente de los deseos
si es cierto se compra mucho
sera o solo estan protegiendo su industria
será que las colchas también contengan eso a cabo d comprar tres en temu
aaaaiii nooo yk acabo de comprar toppers
si fuera por eso nos hubiéramos muerto hase rato porque hasta las verduras las riegan con insecticidas luego la comemos
yo no compro por temu
yo uso ali por eso
jaja andenle pues yo sigo esperando la ropita de shein
yo tuve unas botas de shein que tenian un olor super fuerte a químico y las tuve que tirar
yo con mi ropa d shein super agusto
ahora por eso se puso tan caro shein cobran taxa envío todoooo y de los descuentos mejor ni hablamos ya no dan bueno cupones
tengo 2 años estrenando diariamente puro shein desde ropa calzado bolsas abrigos botas sandalias ah e interior y no la lavo estoy perfecta yo digo que es mentira
a mí me da igual me encanta shein
me dio ganas de pedir en shein
lo único que no me gusto de shein es que ahora les cobren impuestos
apenas viendo estoy yo con un carrito lleno de shein creo lo cancelare
quizás pero mi boslillo no me permite comprar ropa en liverpool y shein me da mucho a mi alcance total dudo q sea peor q la pndmia
apenas viendo estoy yo con un carrito lleno de shein creo lo cancelare
quizás pero mi boslillo no me permite comprar ropa en liverpool y shein me da mucho a mi alcance total dudo q sea peor q la pndmia
aparte en temu no es la ropa que publican pura tela corriente
con razón entrar a esas tiendas me salía x qué me sentía mal
o sea que mejor no acepto los juguetes18 que pedi en temu
yo esperando mis productos shein
justo cuando salio el reportaje de que quitarían temu y shein por algo que esta afectando a méxicoel viejo truco
si son tóxicas pero por eso todo lo de shein se tiene que lavar antes de ponértelo
ya pagaron las tiendas grandes porque les están pegando una recia en venta ‘obvio tienen que inventarles algo
lavas la ropa y listo sin embargo eso suena a ataque e invento de las grandes empresas de ropa
qué bueno que siempre me compro en el mercado l ropa
aplicando la clásica si no puedes con la competencia arranca campaña de tierra contra ellas
neee haciendo información falsa para que ya no les compren
siempre hay que lavar toda la ropa nueva antes de usarla
happi mod
y ali
queremos ver los resultados y quién firma
jajajaja eso es mentira lo que pasa es que nadie ya compra caro mejor más y buena calidad
pues como no si son productos de baja calidad por qué creen que son baratos
más barato más contaminacióny asemos más ricos a los chinos y a nuestro mercado nacional les estamos afectando dios tenga misericordia
primero que nada que son esas sustancias que hace o que
para que tendrían que ponerle formaldeido a una gorra y talaftos a los zapatos
eso se lo dijo su tío samque dijera eso en contra de china por que son sus títeres
hay que lavar la ropa antes de usarla
no neni… con shein no
la mayoría de mi ropa es de sheim
a mi no me engañan esto es publicidad de amazon
jajajaaaaja falso es una campaña sucia de amazon y mercado libre porque ta están siendo desplazados
o nooooo nos iremos todos con san pedro premio o castigo
méxico tomando leche liconsa
me aparece este video justo cuando estoy haciendo pedido de temu
si ya lo descubrieron por qué no hacen nada
el problema es que si no se compra en esas plataformas ya muchas cosas vienen de china de todos modos
dice que en seúl hicieron las pruebas mientras seguiré con mi carrito hasta que hagan pruebas en méxico
que bueno que nuncaa e comprado ahí
yo con mis tenis temu
eso suena a sabotaje
se enojo la competencia
esta noticia le encanta a zara bershka pa etc etc
que casualidad xd
olv
o eso suena a que zara y hm no quieren que shen las supere
lo que inventan para que no compres ahí y la gente que se lo cree
hasta donde llegan con tal de destruir a la competencia
buena estrategia pero yo seguiré comprando
y seúl yo ni dije nada
y que
es competencia ahora resulta que no ven sus productos
no deverian permitir la entrada de eso
jajaja igual que en los simpsons
como que ya están bajando venta las otras marcas
hay por dios que preocupados
saben q es más barato y quieren evitar sigan comprando
y zara hacen la ropa en el mismo lugar o casual ahí no hacen inspecciónes
constantemente hacen los mismos “estudios” las marcas de renombre saben la gran competencia que son en calidad y precio
y los de zara y demás marcas que confeccionan sus productos en china
si claro
pues yo me compre un sueter y no me duro nada mas bien hay q ser conscientes de lo que compramos y donde
ya no le compre a china att estados unidos
es mentira dicen eso por qué les están ganando a las tiendas físicas es más barato muy bonito y lo que yo he comprado y he sabido buena calidad
jajaja bueno yo siempre los lavo o los desinfecto
adiós temu
la competencia
claro claro
ami esposa le a salió salpullido granitos rojos muchísisimos solo en las piernas con un shorts de temu asta ahorita vine a saber
pues es lo que venden en todos lados hasta en el liverpool a veces están las mismas cosas
confirmo compre una blusa y en cuanto me la probé me empezó a picar la piel
mercadotecnia se le llama
no compro en esta lineas
pero todo son desechables es una estafa lo barato sale caro
por eso las autoridades deben estar al pendiente de lo que dejan vender en este país ya que uno no puede andar averiguando cosa por cosa entonces es la autoridad competente
de hecho hay un dorama que lo explica
ya no saben como parar la maquina de china
por eso sw lava
por fin
os quita ventas eh
también tenían padalustro mucho cuidado
nada es cierto
que conveniente
que conveniente
yo creo que quieren detener el comercio
que bno que no compro jaja
de acuerdo
a poco si mejor que digan que apoyen el comercio local
uff que bueno que compro aliexpress jajaja
ali exprés es lo mismo vdd
otro caso huawei
si de verdad un día abrí una bolsa y salió un olor muy fuerte q hasta los ojos m ardieron
sabían que varía ropa de bebé de temu es la misma que venden los de carters
pos si pero como saber si casi todo se hace en china no solo esas marcas
de todos modos voy a seguir comprando
si las hacen en chinapues
lo que quieren es causar miedo en los compradores y poder ellos cobrar algún impuesto ahora con esa justificación de supervisión u cualquier cosa
de echo muchos juguetes tienen plomo lo cual es demasiado peligroso una vez compre un tanjiro y olia horrible lo tire mejor
yo viendo el vídeo usando el lápiz de sheglam jajajajaja
estados unidos estás ahí
por fin que pongan atención en los productos chinos
las marcas no les gusta quieren que paguen más los mexicanos
vaya debió de ser una sorpresa
eso nunca me detuvo más daño me hizo mi ex
yo por eso no compro zapatos solo ropa
con una lavada se le quita
si si claro y allien no que raro si todo viene de donde mismo solo que diferente plataforma
tóxicas son las otras apps viendo cómo temu les baja la clientela
porque solo shein y temu si amazon vende lo mismo
jamás lo creí de ti temu
más tóxicos son mi suegros y mi esposa y he sobrevivido
solo hay que lavar antes de usar por que todos tienen componentes tóxicos
toda la ropa hoy en día proviene de china hasta de las grandes marcas lo que yo no estoy dispuesta a pagar por una etiqueta de louis vuitton o gucci
me suena a q amazon esta con los nervios a tope
jadespués dirán q mercado libre está en las mismas jajaj
todo lo de shein es muy bonito pero sabemos q lo barato sale caro pero bueno cada quien usa lo q quiere y puede de todas maneras aún q seamos advertidos no asemos caso
yo soy de aliexpress
jimmy solo creo em jimmy
aliexpress es lo máximo
naaa naaa
ufff
e visto prendas q vienen de shein y solo le cambian la etiqueta y las venden en tiendas
con tal de frenarlos jajajaja ya nadie les cree
ya les está doliendo la competencia
no te preocupes yo ayudaré
no sé si sea verdad o no porque yo compro un shein y hago mis pedidos pero mi hija apenas me dijo que tenía mucha comezón en su cuerpo ya me asusté
eso no es cierto es porque venden más que ninguna otra empresa en el mundo
algún experto en esa materia que nos diga eu no soporta el éxito de otros y pues no confío
no es corea es usa perdiendo
como son chinas las marcas no creo que estados unidos allá mandado decir eso
y es así como destruir a la competencia que esta en la cima si los países fabricantes no vendieran tan caro tendrían mejores oportunidades pero la historia es otra
también las de amazon
gigi verónica patricia ga
karencita
cherry
tristesa andante
pameladelrayo
dulcealvares250
s i l e m
m a y
dolo lara
juan pablo sánche578
joaquin b velázquez
successfulcrackers él ayuda
nerea urkijo ane ruiz brenacosta337 jenny
gloria aguilar naraby arias
jajajaa siiii como no
jennifer alemán
marmat
pam
user3762973662985
y
jessjimenez
emmanuel ramos
a stefanee ramirez
karen valencia ahhh valiendo
dalia hg katy cervantes
maríagallego
sprhyhacker tan real
rtvc noticias
kimberlyandaluz
gospel en español
gospel en español
alejandra martínez
moon
naty kraken08
jaz
yeri mua ya no compres en shein jeje
cmoon57 no pueden con super shein
iliana zarate
2shop
estaría bien pedir a las autoridades mexicanas profecooficial que hagan un estudio propio
arelit0
karen zecua
nelly gonzalez405
ximena romero
el rayo aduanero
jajajajajajajajajjajaja
saraí morales589
estefania ocon
solache
etiquetan a jóvenes hoy 777
michelle banderas user455473834345 bnders
saraí morales589
estefania ocon
solache
etiquetan a jóvenes hoy 777
michelle banderas user455473834345 bnders
flakita mia alee mönsälvë sönïä
fernanda
miriam
suemi tsuni guevara
melodi
sinaisolis
liz paola raggini
irefro
deni98
macca g
yiyi bv
eduardo luna rios
lievanoerika
gisel salinas miranda
mano goketsu
vane
mineicovarrubias
elena eben castellan
yam
que raro no las ventas del zara shasa y demás tiendas ya no dan
para los que dicen que es falso o sea shein es barato obviamente hacen la ropa con cosas baratas digo si explotan a sus empleados hahano se hagan tontas
solache
es competencia ahora resulta que no ven sus productos
no deverian permitir la entrada de eso
jajaja igual que en los simpsons
lo único sano que hay en el mundo es macdonalds claro claro claroo
como que ya están bajando venta las otras marcas
a mí me da igual me encanta shein
hay por dios que preocupados
algún experto en esa materia que nos diga eu no soporta el éxito de otros y pues no confío
saben q es más barato y quieren evitar sigan comprando
y zara hacen la ropa en el mismo lugar o casual ahí no hacen inspecciónes
constantemente hacen los mismos “estudios” las marcas de renombre saben la gran competencia que son en calidad y precio
quien lo hubiera imaginado no se podía saber
y los de zara y demás marcas que confeccionan sus productos en china
y los de zara y demás marcas que confeccionan sus productos en china
tengo grupo de shein si quieres ganar comenta yo‼
si claro
pues yo me compre un sueter y no me duro nada mas bien hay q ser conscientes de lo que compramos y donde
ya no le compre a china att estados unidos
m a y
ahora son tóxicas porq no quieren vender a israel
es mentira dicen eso por qué les están ganando a las tiendas físicas es más barato muy bonito y lo que yo he comprado y he sabido buena calidad
lo único que no me gusto de shein es que ahora les cobren impuestos
para empezar todos los productos de temu no sirven y ahora agreguenle eso de los contaminantes
jajaja bueno yo siempre los lavo o los desinfecto
y toda la de comercio chino que ya está en méxico está infestado dejen sus hipocresias si van a regular haganlo bien
apenas viendo estoy yo con un carrito lleno de shein creo lo cancelare
la competencia
claro claro
jajaja les están quitando todo el pastel los chinos y ya no saben que inventar para frenar su crecimiento
etiquetan a jóvenes hoy 777
jajajaja les está dando en la mandarina a las empresas de marcas reconocidas
ami esposa le a salió salpullido granitos rojos muchísisimos solo en las piernas con un shorts de temu asta ahorita vine a saber
vane
pues es lo que venden en todos lados hasta en el liverpool a veces están las mismas cosas
confirmo compre una blusa y en cuanto me la probé me empezó a picar la piel
toda la ropa tiene plomo amor por eso la tienes que lavar
michelle banderas user455473834345 bnders
mercadotecnia se le llama
no compro en esta lineas
una lavadita
otra vez contra shein ‍‍‍
pero todo son desechables es una estafa lo barato sale caro
por eso las autoridades deben estar al pendiente de lo que dejan vender en este país ya que uno no puede andar averiguando cosa por cosa entonces es la autoridad competente
ojalá hagan efecto rápido en mi para graduarme de la vida
de hecho hay un dorama que lo explica
ya no saben como parar la maquina de china
cmoon57 no pueden con super shein
yo tengo zapatos maquillaje y tengo años no les a echo daño mis clientas ya no sabes ni que desir compra mas uno en esa linia toxico m marido
ufff
desprestigio por otras marcas no es raro
un avez me compré unos zapatos muy económicos y cómodos y en la tercera vez que los usé me salió un tremendo salpudiilo en los pies que tuve que parar en el dermatólogo
no compro ropa x internet si quiero ropa barata mejor de las segundas
por eso sw lava
alguien está enojado porque ya no venden igual suena a difamación
por fin
no está estados unidos por ahí por qué a eso se dedica a destruir
no es corea es usa perdiendo
vaya con esto ya ven que china y estas tiendas en linea estan invadiendo el y ya les esta preocupando a otros
os quita ventas eh
también tenían padalustro mucho cuidado
nada es cierto
quizás pero mi boslillo no me permite comprar ropa en liverpool y shein me da mucho a mi alcance total dudo q sea peor q la pndmia
que conveniente
que conveniente
yo creo que quieren detener el comercio
que bno que no compro jaja
corea del sur ja aliados de estados unidos mmm
de acuerdo
sigann
a poco si mejor que digan que apoyen el comercio local
xtreeme hack me alegro de que me hayas ayudado a recuperar mi dinero
xtreeme hack gracias por ayudarme a recuperar mi dinero
uff que bueno que compro aliexpress jajaja
ali exprés es lo mismo vdd
ha ya bájenle 2 rallitas
otro caso huawei
me dio ganas de pedir en shein
si de verdad un día abrí una bolsa y salió un olor muy fuerte q hasta los ojos m ardieron
jajaja como desprestigiar el producto extranjero para comprar producto interno y estoy a favor de la compra del producto interno pero para esta economía es mucho mejo hoy día comprar productos
obviamente no les va a afectar en años pero cuando crezcan y su cuerpo no pueda con tanto tóxico llega el cancer
mineicovarrubias
lo que pasa es que le tienen envidia a china
sabían que varía ropa de bebé de temu es la misma que venden los de carters
elena eben castellan
como son chinas las marcas no creo que estados unidos allá mandado decir eso
pos si pero como saber si casi todo se hace en china no solo esas marcas
de todos modos voy a seguir comprando
lo que quieren es causar miedo en los compradores y poder ellos cobrar algún impuesto ahora con esa justificación de supervisión u cualquier cosa
si las hacen en chinapues
yo viendo el vídeo usando el lápiz de sheglam jajajajaja
de echo muchos juguetes tienen plomo lo cual es demasiado peligroso una vez compre un tanjiro y olia horrible lo tire mejor
y es así como destruir a la competencia que esta en la cima si los países fabricantes no vendieran tan caro tendrían mejores oportunidades pero la historia es otra
ahora imaginen todas esas personas que compran juguetes sxuales ‍
las mujeres de latinoamérica que toda su ropa son de shein
estados unidos estás ahí
por fin que pongan atención en los productos chinos
joss montiel
compré unas blusas en shein y olían horrible tuve que lavarlas 3 veces para que se les quitara el olor
las marcas no les gusta quieren que paguen más los mexicanos
también las de amazon
investigación pagada por mercado libre jajaja
cracksyp eres el mas grande
no es verdad lava la la ropa y ya es obvio que digan este tipo de noticias shein temu y otras plataformas ganan por volumen por eso es barato por cierto ya están cobrando los taxes
jorgegarcia97601
yam
vaya debió de ser una sorpresa
seeeee claro por que no publican los resultados de los estudios en algún sitio confiable
adiós shein te irá mejor en el bote
eso nunca me detuvo más daño me hizo mi ex
esto es loq se viene la guerra de la economía estos virus de información para q la economía colapse de varias empresas
ahuevo lo que tiene éxito financiero sufre desprestigio
yo por eso no compro zapatos solo ropa
jajajaja si en china por décadas los hizo ricosviva temu
y si los lavas y ya ahora bien será eso o es que realmente está afectando al comercio supuestamente formal
cómo todos los productos de limpieza que se venden en méxico no sé porque se espantan
yo compre unos audífonos y se me cayo uno al piso y se abrió y traía un huevote de cucaracha y si no se hubiera caido ni cuenta que tenia
y seguro disparos unidos lo quiere regular
se creyeron eso de compra como millonario
quien se quejo gucci
aun así amo shein
mejor me espero a ver qué dice la profeco
más tóxico las plataformas de taxi que negrean alos choferes y el sat se voltea a otro lado
adi juárez
por eso es barato
esto es guerra comercial guerra sucia
y de aliexpres
otra vez tratando de engañar ala población con miedo
